latitude,longitude,City,State,Postcode
2.91231642,101.6579478,Sepang,Selangor,62200
2.922506027,101.6431294,Sepang,Selangor,63000
2.93553339,101.7371698,Sepang,Selangor,63450
2.949923904,101.637069,Sepang,Selangor,47120
2.903529733,101.6612493,Sepang,Selangor,62200
2.928514231,101.72064,Sepang,Selangor,62000
2.970783341,101.6744587,Putrajaya,Putrajaya,62300
2.951176457,101.7465264,Sepang,Selangor,43650
2.955301618,101.7039608,Putrajaya,Putrajaya,62502
2.9086064,101.6668225,Sepang,Selangor,62100
2.967033313,101.6523208,Sepang,Selangor,47110
2.962150972,101.7110964,Sepang,Selangor,62500
2.928768234,101.6912621,Putrajaya,Putrajaya,62675
2.941112411,101.7132003,Putrajaya,Putrajaya,62000
2.939276297,101.6442602,Sepang,Selangor,63200
2.957245277,101.6766783,Putrajaya,Putrajaya,61250
2.970509739,101.6621115,Sepang,Selangor,47110
2.921546642,101.6680438,Sepang,Selangor,62100
2.943176549,101.7346564,Sepang,Selangor,62050
2.915475549,101.6616564,Sepang,Selangor,63000
2.943831439,101.6823814,Putrajaya,Putrajaya,62250
2.934433738,101.7258593,Putrajaya,Putrajaya,62050
2.967766774,101.6855821,Putrajaya,Putrajaya,62300
2.951222745,101.7235245,Putrajaya,Putrajaya,62050
2.939402932,101.6633933,Sepang,Selangor,61250
2.947776713,101.6978995,Putrajaya,Putrajaya,62514
2.9662059,101.6346878,Sepang,Selangor,47120
2.966805235,101.691886,Putrajaya,Putrajaya,62502
2.904241872,101.6693722,Putrajaya,Putrajaya,62200
2.953809463,101.6864277,Putrajaya,Putrajaya,61250
2.971703373,101.6786169,Putrajaya,Putrajaya,62300
2.925992147,101.7259705,Sepang,Selangor,63450
2.94146915,101.7094355,Putrajaya,Putrajaya,62000
2.959500865,101.7081422,Putrajaya,Putrajaya,62502
2.932691012,101.6432777,Sepang,Selangor,63000
2.943731299,101.7349606,Sepang,Selangor,62050
2.932445148,101.7365378,Sepang,Selangor,63450
2.938365035,101.7021395,Putrajaya,Putrajaya,62519
2.961409415,101.6954655,Putrajaya,Putrajaya,62502
2.909508314,101.7448743,Sepang,Selangor,63450
2.920341513,101.7127793,Sepang,Selangor,62000
2.938475943,101.6852813,Putrajaya,Putrajaya,62250
2.920208022,101.7141611,Sepang,Selangor,62000
2.911034456,101.7459985,Sepang,Selangor,63450
2.962275698,101.6918951,Putrajaya,Putrajaya,61250
2.932841078,101.6624616,Sepang,Selangor,61250
2.938229596,101.7328228,Putrajaya,Putrajaya,62050
2.922380929,101.687864,Putrajaya,Putrajaya,62100
2.919551168,101.668476,Sepang,Selangor,62100
2.916453312,101.7460087,Sepang,Selangor,63450
2.943119223,101.7154266,Putrajaya,Putrajaya,62050
2.91001756,101.6719134,Sepang,Selangor,62100
2.965581773,101.6384887,Sepang,Selangor,47120
2.914720246,101.7026826,Sepang,Selangor,62150
2.94670685,101.727935,Putrajaya,Putrajaya,62050
2.968579156,101.6453175,Sepang,Selangor,47110
2.921287496,101.6791926,Putrajaya,Putrajaya,62100
2.903208575,101.6367534,Sepang,Selangor,63000
2.918987501,101.6855577,Putrajaya,Putrajaya,62100
2.920738346,101.7324981,Sepang,Selangor,63450
2.92582691,101.7381869,Sepang,Selangor,63450
2.97132764,101.6818507,Putrajaya,Putrajaya,62300
2.919032094,101.6630788,Sepang,Selangor,63000
2.957446652,101.6609054,Sepang,Selangor,62300
2.929765556,101.685258,Putrajaya,Putrajaya,62250
2.943371984,101.7466686,Sepang,Selangor,43650
2.919387484,101.6704071,Sepang,Selangor,62100
2.92153352,101.6713196,Sepang,Selangor,62100
2.910196243,101.6711649,Sepang,Selangor,62100
2.965247798,101.6639004,Putrajaya,Putrajaya,62300
2.929160659,101.7405425,Sepang,Selangor,63450
2.954092424,101.6897865,Putrajaya,Putrajaya,62250
2.957506738,101.6430859,Sepang,Selangor,47120
2.93563453,101.6424992,Sepang,Selangor,63200
2.919485995,101.6453034,Sepang,Selangor,63000
2.92845186,101.6737553,Putrajaya,Putrajaya,62250
2.969405623,101.6598108,Sepang,Selangor,47110
2.936189794,101.7247492,Putrajaya,Putrajaya,62050
2.960194395,101.7175065,Sepang,Selangor,62500
2.923278148,101.6872035,Putrajaya,Putrajaya,62675
2.916170107,101.650825,Sepang,Selangor,63000
2.933630644,101.7161121,Putrajaya,Putrajaya,62000
2.939977736,101.7336849,Putrajaya,Putrajaya,62050
2.96126395,101.6322195,Sepang,Selangor,47120
2.942903902,101.7007535,Putrajaya,Putrajaya,62519
2.970403509,101.6312264,Sepang,Selangor,47120
2.940293857,101.6527689,Sepang,Selangor,63200
2.906898887,101.6981818,Sepang,Selangor,62150
2.957185786,101.7204164,Sepang,Selangor,62500
2.90526394,101.6767583,Putrajaya,Putrajaya,62100
2.906258654,101.6578782,Sepang,Selangor,62200
2.916636583,101.6540031,Sepang,Selangor,63000
2.926865293,101.6613881,Sepang,Selangor,63200
2.970452804,101.6702865,Putrajaya,Putrajaya,62300
2.96568898,101.6499519,Sepang,Selangor,47110
2.956566257,101.6357485,Sepang,Selangor,47120
2.935513585,101.629123,Sepang,Selangor,47130
2.959821806,101.7412559,Sepang,Selangor,62500
2.905601006,101.7392814,Sepang,Selangor,63450
